iter	Passed	Remaining
0	143	143703
1	147	73465
2	150	50082
3	153	38333
4	157	31287
5	160	26590
6	163	23226
7	166	20701
8	169	18650
9	171	16968
10	173	15589
11	175	14439
12	177	13466
13	179	12629
14	181	11914
15	183	11299
16	185	10748
17	187	10247
18	189	9798
19	191	9394
20	193	9029
21	194	8663
22	195	8310
23	196	8005
24	198	7723
25	199	7480
26	201	7255
27	202	7033
28	204	6832
29	205	6647
30	207	6476
31	208	6314
32	210	6165
33	212	6023
34	213	5883
35	215	5758
36	216	5637
37	218	5525
38	219	5417
39	221	5314
40	222	5206
41	224	5109
42	224	5005
43	226	4917
44	227	4834
45	228	4743
46	230	4665
47	231	4588
48	232	4517
49	234	4450
50	235	4387
51	236	4310
52	237	4243
53	238	4182
54	240	4125
55	241	4071
56	242	4019
57	244	3969
58	245	3921
59	247	3871
60	248	3825
61	249	3780
62	251	3739
63	253	3703
64	254	3663
65	255	3621
66	257	3584
67	258	3548
68	260	3512
69	261	3478
70	263	3443
71	264	3410
72	266	3378
73	267	3346
74	268	3315
75	270	3286
76	271	3256
77	273	3228
78	274	3201
79	276	3174
80	277	3148
81	278	3122
82	280	3095
83	281	3071
84	283	3048
85	284	3025
86	286	3002
87	287	2981
88	288	2956
89	290	2935
90	291	2914
91	293	2893
92	294	2872
93	295	2852
94	297	2831
95	298	2811
96	299	2785
97	300	2768
98	302	2753
99	304	2740
100	305	2718
101	307	2706
102	308	2690
103	310	2674
104	311	2659
105	313	2643
106	314	2627
107	316	2612
108	317	2598
109	319	2585
110	321	2571
111	322	2559
112	323	2542
113	325	2530
114	327	2517
115	328	2504
116	330	2491
117	331	2479
118	333	2467
119	334	2455
120	336	2441
121	336	2424
122	338	2412
123	339	2400
124	340	2386
125	342	2373
126	343	2359
127	344	2344
128	345	2331
129	346	2318
130	347	2305
131	348	2293
132	349	2280
133	350	2268
134	352	2256
135	353	2244
136	354	2232
137	355	2220
138	356	2206
139	357	2194
140	358	2183
141	359	2172
142	360	2161
143	361	2150
144	362	2139
145	363	2128
146	365	2118
147	366	2107
148	367	2097
149	368	2087
150	369	2077
151	370	2067
152	371	2057
153	372	2047
154	373	2037
155	374	2028
156	376	2019
157	377	2010
158	378	2000
159	379	1992
160	380	1983
161	381	1974
162	382	1965
163	383	1956
164	384	1947
165	386	1939
166	386	1928
167	387	1920
168	388	1912
169	389	1903
170	391	1895
171	392	1887
172	393	1881
173	394	1873
174	395	1865
175	396	1858
176	397	1850
177	399	1842
