iter	Passed	Remaining
0	145	145184
1	150	74969
2	154	51281
3	158	39386
4	163	32573
5	167	27775
6	171	24393
7	174	21599
8	177	19557
9	179	17805
10	181	16359
11	184	15171
12	186	14157
13	190	13413
14	192	12659
15	194	11983
16	196	11384
17	198	10815
18	199	10304
19	200	9846
20	203	9491
21	205	9118
22	206	8773
23	207	8454
24	209	8162
25	210	7892
26	212	7643
27	213	7410
28	214	7192
29	216	6998
30	218	6815
31	219	6637
32	220	6470
33	223	6359
34	225	6219
35	227	6094
36	229	5963
37	232	5877
38	233	5755
39	235	5645
40	236	5539
41	238	5436
42	241	5369
43	242	5278
44	245	5219
45	248	5144
46	249	5066
47	251	4993
48	254	4942
49	256	4867
50	257	4793
51	260	4757
52	262	4690
53	264	4627
54	266	4571
55	268	4523
56	269	4463
57	275	4481
58	277	4428
59	279	4372
60	280	4321
61	282	4269
62	283	4218
63	285	4169
64	286	4121
65	289	4096
66	291	4057
67	292	4015
68	294	3971
69	295	3928
70	297	3886
71	298	3845
72	299	3808
73	301	3770
74	304	3755
75	306	3721
76	307	3685
77	308	3650
78	310	3616
79	311	3582
80	313	3552
81	314	3522
82	315	3485
83	316	3455
84	319	3434
85	320	3405
86	321	3376
87	323	3348
88	324	3321
89	326	3298
90	327	3273
91	329	3248
92	330	3223
93	333	3212
94	334	3188
95	336	3164
96	337	3142
97	339	3121
98	340	3099
99	341	3077
100	343	3056
101	344	3034
102	347	3028
103	349	3008
104	350	2989
105	352	2969
106	353	2950
107	354	2930
108	356	2911
109	357	2892
110	358	2874
111	361	2864
112	362	2848
113	364	2831
114	365	2814
115	367	2797
116	368	2778
117	369	2761
118	370	2745
119	372	2732
120	374	2722
121	378	2721
122	379	2709
123	381	2696
124	383	2684
125	385	2673
126	386	2657
127	387	2643
128	389	2629
129	391	2622
130	393	2609
131	394	2595
132	396	2582
133	397	2569
134	398	2556
135	400	2543
136	401	2530
137	403	2517
138	404	2505
139	407	2500
140	408	2488
141	409	2473
142	410	2461
143	412	2450
144	413	2438
145	414	2426
146	416	2415
147	417	2404
148	419	2393
149	421	2389
150	423	2378
151	424	2368
152	425	2357
153	427	2346
154	428	2337
155	430	2328
156	431	2317
157	433	2307
158	434	2297
159	436	2290
160	437	2278
161	438	2270
162	441	2269
163	443	2260
164	444	2251
165	446	2242
166	447	2233
167	450	2230
168	451	2222
169	453	2213
170	454	2205
171	456	2196
172	458	2189
173	459	2181
174	460	2172
175	462	2165
176	467	2172
177	468	2165
178	470	2156
179	471	2149
180	473	2140
181	474	2132
182	475	2124
183	477	2116
184	479	2114
185	481	2106
186	482	2099
187	484	2091
188	485	2083
189	487	2076
190	488	2069
191	490	2063
192	491	2055
193	493	2052
194	495	2045
195	496	2038
196	498	2031
197	500	2028
198	502	2023
199	504	2016
200	505	2010
201	507	2003
202	510	2003
203	511	1997
204	514	1993
205	515	1986
206	516	1980
207	518	1975
208	520	1970
209	522	1963
210	525	1963
211	526	1957
212	528	1952
213	529	1946
214	531	1940
215	533	1935
216	535	1930
217	537	1927
218	542	1934
219	544	1929
220	547	1929
221	549	1927
222	552	1925
223	557	1932
224	560	1929
225	562	1924
226	563	1919
227	565	1915
228	566	1908
229	569	1907
230	571	1902
231	573	1900
232	575	1894
233	576	1888
234	578	1882
235	579	1877
236	581	1872
237	586	1876
238	587	1870
239	588	1864
240	590	1858
241	593	1859
242	594	1853
243	596	1847
244	598	1842
245	600	1840
246	602	1835
247	603	1829
248	604	1823
249	606	1820
250	609	1817
251	613	1820
252	615	1815
253	616	1810
254	618	1807
255	619	1801
256	621	1796
257	622	1790
258	623	1785
259	625	1779
260	629	1781
261	630	1777
262	632	1772
263	633	1766
264	635	1761
265	636	1755
266	638	1752
267	639	1747
268	642	1745
269	644	1741
270	646	1738
271	647	1733
272	649	1728
273	650	1724
274	652	1719
275	653	1714
276	656	1712
277	658	1709
278	659	1705
279	661	1700
280	663	1697
281	664	1692
282	666	1687
283	667	1682
284	668	1678
285	670	1673
286	673	1674
287	675	1669
288	676	1665
289	678	1660
290	679	1655
291	681	1652
292	683	1648
293	684	1643
294	686	1641
295	688	1637
296	690	1635
297	692	1630
298	693	1626
299	695	1622
300	696	1617
301	698	1613
302	701	1614
303	703	1610
304	704	1606
305	706	1602
306	707	1597
307	709	1594
308	711	1590
309	712	1585
310	713	1581
311	716	1579
312	719	1579
313	720	1574
314	722	1570
315	723	1566
316	724	1561
317	726	1557
318	728	1555
319	731	1555
320	733	1550
321	734	1546
322	736	1543
323	738	1540
324	739	1535
325	740	1531
326	742	1527
327	743	1523
328	747	1523
329	748	1520
330	750	1516
331	752	1513
332	754	1510
333	755	1506
334	757	1502
335	758	1499
336	764	1503
337	765	1500
338	767	1496
339	769	1492
340	770	1489
341	773	1489
342	778	1491
343	780	1487
344	782	1486
345	784	1483
346	786	1480
347	788	1477
348	795	1483
349	797	1481
350	801	1482
351	804	1480
352	809	1483
353	810	1479
354	812	1476
355	814	1473
356	816	1469
357	817	1466
358	818	1462
359	822	1463
360	824	1459
361	825	1455
362	827	1452
363	830	1450
364	832	1448
365	834	1444
366	841	1451
367	842	1447
368	844	1444
369	846	1440
370	847	1437
371	849	1433
372	853	1434
373	855	1431
374	856	1427
375	858	1424
376	859	1420
377	861	1417
378	863	1414
379	868	1417
380	870	1415
381	872	1411
382	874	1409
383	876	1406
384	878	1403
385	879	1399
386	884	1400
387	885	1397
388	887	1393
389	888	1390
390	890	1387
391	892	1384
392	894	1380
393	895	1377
394	897	1375
395	899	1371
396	900	1368
397	902	1364
398	903	1360
399	905	1357
400	906	1354
401	907	1350
402	909	1347
403	913	1348
404	915	1345
405	917	1342
406	919	1339
407	920	1336
408	923	1333
409	926	1333
410	930	1333
411	932	1330
412	934	1328
413	936	1325
414	938	1323
415	942	1322
416	944	1320
417	946	1317
418	948	1315
419	949	1311
420	951	1308
421	952	1304
422	953	1301
423	955	1298
424	957	1295
425	959	1292
426	961	1289
427	964	1288
428	967	1287
429	968	1284
430	973	1285
431	975	1282
432	976	1279
433	978	1276
434	981	1274
435	986	1275
436	988	1273
437	990	1270
438	993	1269
439	995	1267
440	997	1265
441	1004	1268
442	1006	1265
443	1008	1262
444	1010	1259
445	1012	1258
446	1017	1258
447	1018	1255
448	1020	1252
449	1022	1249
450	1023	1246
451	1024	1242
452	1026	1239
453	1027	1235
454	1029	1232
455	1032	1231
456	1033	1228
457	1034	1224
458	1036	1221
459	1037	1218
460	1039	1215
461	1040	1211
462	1042	1208
463	1043	1205
464	1044	1202
465	1047	1200
466	1049	1197
467	1050	1194
468	1052	1191
469	1053	1188
470	1055	1185
471	1056	1181
472	1057	1178
473	1059	1175
474	1061	1173
475	1063	1170
476	1064	1167
477	1065	1164
478	1067	1160
479	1068	1158
480	1070	1155
481	1072	1152
482	1073	1149
483	1077	1148
484	1079	1145
485	1081	1143
486	1082	1140
487	1084	1137
488	1085	1134
489	1086	1131
490	1088	1128
491	1090	1126
492	1092	1123
493	1093	1120
494	1095	1117
495	1096	1114
496	1097	1111
497	1099	1108
498	1100	1104
499	1101	1101
500	1103	1098
501	1105	1097
502	1107	1094
503	1108	1091
504	1110	1088
505	1111	1085
506	1112	1082
507	1114	1078
508	1115	1076
509	1116	1073
510	1118	1070
511	1121	1068
512	1122	1065
513	1124	1062
514	1126	1060
515	1127	1057
516	1129	1054
517	1130	1052
518	1132	1049
519	1133	1046
520	1135	1043
521	1137	1041
522	1138	1038
523	1140	1035
524	1141	1032
525	1142	1029
526	1144	1026
527	1145	1024
528	1147	1021
529	1149	1018
530	1150	1016
531	1152	1013
532	1153	1010
533	1155	1008
534	1156	1005
535	1158	1002
536	1159	999
537	1162	998
538	1164	995
539	1165	992
540	1167	990
541	1168	987
542	1169	984
543	1171	981
544	1172	979
545	1174	976
546	1176	974
547	1177	971
548	1179	968
549	1181	966
550	1182	963
551	1184	960
552	1185	958
553	1186	955
554	1188	952
555	1190	950
556	1192	948
557	1193	945
558	1194	942
559	1196	939
560	1197	937
561	1199	934
562	1200	932
563	1202	929
564	1203	926
565	1206	924
566	1207	922
567	1209	919
568	1210	916
569	1211	914
570	1213	911
571	1214	908
572	1216	906
573	1218	904
574	1220	902
575	1222	899
576	1224	897
577	1226	895
578	1227	892
579	1229	890
580	1230	887
581	1231	884
582	1233	882
583	1236	880
584	1237	877
585	1238	875
586	1240	872
587	1241	869
588	1242	867
589	1244	864
590	1245	862
591	1247	859
592	1248	856
593	1250	855
594	1252	852
595	1253	849
596	1255	847
597	1256	844
598	1257	842
599	1259	839
600	1260	836
601	1262	834
602	1265	833
603	1267	831
604	1270	829
605	1273	827
606	1275	825
607	1277	823
608	1280	822
609	1282	819
610	1283	817
611	1285	814
612	1286	812
613	1288	810
614	1289	807
615	1291	804
616	1292	802
617	1295	800
618	1297	798
619	1298	795
620	1299	793
621	1301	790
622	1302	788
623	1303	785
624	1305	783
625	1306	780
626	1308	778
627	1310	776
628	1312	773
629	1313	771
630	1315	769
631	1316	766
632	1317	764
633	1319	761
634	1320	759
635	1321	756
636	1323	754
637	1325	752
638	1327	749
639	1328	747
640	1330	744
641	1331	742
642	1332	739
643	1334	737
644	1335	735
645	1336	732
646	1339	730
647	1341	728
648	1342	726
649	1343	723
650	1345	721
651	1346	718
652	1348	716
653	1349	713
654	1350	711
655	1352	709
656	1354	707
657	1356	704
658	1357	702
659	1359	700
660	1360	697
661	1361	695
662	1363	692
663	1364	690
664	1366	688
665	1368	686
666	1370	684
667	1371	681
668	1373	679
669	1374	676
670	1375	674
671	1377	672
672	1378	669
673	1380	667
674	1381	665
675	1384	663
676	1385	661
677	1386	658
678	1388	656
679	1390	654
680	1392	652
681	1393	649
682	1396	647
683	1399	646
684	1400	644
685	1402	641
686	1403	639
687	1404	637
688	1406	634
689	1408	632
690	1410	630
691	1411	628
692	1415	626
693	1418	625
694	1421	623
695	1422	621
696	1423	619
697	1425	616
698	1428	615
699	1430	612
700	1432	611
701	1434	609
702	1436	606
703	1440	605
704	1442	603
705	1445	602
706	1447	599
707	1449	597
708	1450	595
709	1451	593
710	1453	590
711	1454	588
712	1455	586
713	1458	584
714	1460	582
715	1461	579
716	1462	577
717	1464	575
718	1465	572
719	1467	570
720	1468	568
721	1470	566
722	1471	563
723	1473	561
724	1475	559
725	1476	557
726	1478	555
727	1479	552
728	1480	550
729	1482	548
730	1483	545
731	1484	543
732	1487	541
733	1489	539
734	1490	537
735	1491	535
736	1493	532
737	1494	530
738	1496	528
739	1497	526
740	1498	523
741	1500	521
742	1503	519
743	1504	517
744	1506	515
745	1508	513
746	1509	511
747	1510	509
748	1512	506
749	1513	504
750	1515	502
751	1517	500
752	1519	498
753	1520	496
754	1521	493
755	1523	491
756	1524	489
757	1526	487
758	1527	484
759	1528	482
760	1530	480
761	1532	478
762	1533	476
763	1535	474
764	1536	472
765	1538	469
766	1539	467
767	1541	465
768	1542	463
769	1545	461
770	1546	459
771	1547	457
772	1549	454
773	1550	452
774	1551	450
775	1553	448
776	1554	446
777	1555	443
778	1557	441
779	1559	439
780	1561	437
781	1562	435
782	1563	433
783	1565	431
784	1566	429
785	1567	426
786	1569	424
787	1570	422
788	1572	420
789	1574	418
790	1576	416
791	1577	414
792	1579	412
793	1580	410
794	1581	407
795	1583	405
796	1584	403
797	1585	401
798	1587	399
799	1589	397
800	1590	395
801	1592	393
802	1593	390
803	1595	388
804	1596	386
805	1597	384
806	1599	382
807	1600	380
808	1601	378
809	1604	376
810	1605	374
811	1606	372
812	1608	369
813	1609	367
814	1610	365
815	1612	363
816	1613	361
817	1614	359
818	1616	357
819	1618	355
820	1620	353
821	1621	351
822	1623	349
823	1624	346
824	1625	344
825	1627	342
826	1628	340
827	1629	338
828	1631	336
829	1633	334
830	1635	332
831	1636	330
832	1638	328
833	1639	326
834	1640	324
835	1642	322
836	1643	320
837	1645	318
838	1647	316
839	1649	314
840	1650	312
841	1652	310
842	1653	307
843	1654	305
844	1656	303
845	1657	301
846	1658	299
847	1660	297
848	1662	295
849	1664	293
